Date,Day of the Week,Start Time(Hours),Chatrapati Shivaji (International) Fare,Kokilaben Hospital Fare,Bank of Baroda(BKC) Fare,Marine Drive Aquarium Fare,Phoenix Mall Fare,Number of Cars Nearby,Chhatrapati Airport(International)Travel Time,Kokilaben Hospital Travel Time,Bank of Baroda BKC Travel Time,Marine Drive Travel Time,Phoenix Mall Travel Time,Type of Car,Travel Distance(Chattrapti Airport),Travel Distance(Kokilaben Hospital),Travel Distance(Bank of Baroda),Travel Distance (Taraporevala Aquaruim),Travel Distance (Phoneix Mall),Holiday/Festival,Latitude of Pickup point,Longitude of Pickup Point,Latitude of Destination(Chattrapti Shivaji Airport),Latitude of Destination(Kokilaben Hospital),Latitude of Destination ( bank of baroda),Latitude of Destination(Taraporevala Aquarium),Latitude of Destination(Phoneix Mall),Longitude of Destination(Chattrapati Shivaji Airport),Longitude of Destination(Kokilaben Hospital),Longitude of Destination(Bank of Baroda),Longitude of Destination(Taraporevala Aquarium),Longitude of Destination(Phoenix Mall)
29-09-2021,Wednesday,12:00,321,400,468,783,305,14,47,54,32,64,28,SUV,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
29-09-2021,Wednesday,13:00,173,215,259,437,162,10,47,51,34,63,27,Mini ,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
29-09-2021,Wednesday,13:00,224,278,337,565,210,10,47,51,34,63,27,Sedan,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
29-09-2021,Wednesday,13:00,321,399,470,782,303,10,47,51,34,63,27,SUV,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
29-09-2021,Wednesday,14:00,151,219,259,435,161,16,47,51,32,62,26,Mini ,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
29-09-2021,Wednesday,14:00,196,282,335,562,209,16,47,51,32,62,26,Sedan,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
29-09-2021,Wednesday,14:00,284,405,468,776,301,16,47,51,32,62,26,SUV,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
29-09-2021,Wednesday,15:00,173,210,258,448,160,7,46,45,31,61,26,Mini ,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
29-09-2021,Wednesday,15:00,224,271,334,580,208,7,46,45,31,61,26,Sedan,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
29-09-2021,Wednesday,15:00,321,388,467,799,299,7,46,45,31,61,26,SUV,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
29-09-2021,Wednesday,16:00,173,212,259,439,161,12,48,59,31,61,26,Mini ,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
29-09-2021,Wednesday,16:00,224,274,335,567,209,12,48,59,31,61,26,Sedan,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
29-09-2021,Wednesday,16:00,321,394,468,785,301,12,48,59,31,61,26,SUV,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
29-09-2021,Wednesday,17:00,243,349,440,435,162,13,26,48,34,61,28,Mini ,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
29-09-2021,Wednesday,17:00,316,450,570,562,210,13,26,48,34,61,28,Sedan,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
29-09-2021,Wednesday,17:00,458,647,798,776,303,13,26,48,34,61,28,SUV,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
29-09-2021,Wednesday,18:00,200,385,266,440,166,9,56,61,41,70,30,Mini ,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
29-09-2021,Wednesday,18:00,260,496,344,568,215,9,56,61,41,70,30,Sedan,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
29-09-2021,Wednesday,18:00,377,715,483,787,312,9,56,61,41,70,30,SUV,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
29-09-2021,Wednesday,19:00,304,278,355,505,225,9,60,67,45,72,35,Mini ,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
29-09-2021,Wednesday,19:00,394,358,459,652,291,9,60,67,45,72,35,Sedan,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
29-09-2021,Wednesday,19:00,566,516,645,904,421,9,60,67,45,72,35,SUV,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
29-09-2021,Wednesday,20:00,246,337,445,585,196,6,50,58,41,62,26,Mini ,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
29-09-2021,Wednesday,20:00,319,434,577,756,255,6,50,58,41,62,26,Sedan,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
29-09-2021,Wednesday,20:00,464,625,809,1045,367,6,50,58,41,62,26,SUV,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
29-09-2021,Wednesday,21:00,147,209,256,428,159,12,46,45,30,62,24,Mini ,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
29-09-2021,Wednesday,21:00,192,270,332,554,207,12,46,45,30,62,24,Sedan,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
29-09-2021,Wednesday,21:00,277,386,463,764,298,12,46,45,30,62,24,SUV,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
29-09-2021,Wednesday,22:00,148,211,256,425,157,9,43,38,29,51,24,Mini ,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
29-09-2021,Wednesday,22:00,192,273,332,550,205,9,43,38,29,51,24,Sedan,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
29-09-2021,Wednesday,22:00,277,389,463,756,294,9,43,38,29,51,24,SUV,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
30-09-2021,Thursday,8:00,143,203,222,421,154,16,19,32,27,48,19,Mini ,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
30-09-2021,Thursday,8:00,186,264,289,545,200,16,19,32,27,48,19,Sedan,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
30-09-2021,Thursday,8:00,268,374,406,749,287,16,19,32,27,48,19,SUV,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
30-09-2021,Thursday,9:00,232,354,394,736,254,8,54,39,39,65,26,Mini ,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
30-09-2021,Thursday,9:00,302,459,510,951,330,8,54,39,39,65,26,Sedan,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
30-09-2021,Thursday,9:00,437,654,722,1316,475,8,54,39,39,65,26,SUV,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
30-09-2021,Thursday,10:00,174,212,272,451,168,15,71,53,52,82,34,Mini ,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
30-09-2021,Thursday,10:00,226,274,352,581,218,15,71,53,52,82,34,Sedan,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
30-09-2021,Thursday,10:00,325,393,496,809,315,15,71,53,52,82,34,SUV,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
30-09-2021,Thursday,11:00,174,213,262,448,165,20,,,,,,Mini ,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
30-09-2021,Thursday,11:00,225,276,340,578,214,20,,,,,,Sedan,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
30-09-2021,Thursday,11:00,310,803,476,395,323,20,,,,,,SUV,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
30-09-2021,Thursday,12:00,174,213,262,437,167,10,52,55,37,65,30,Mini ,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
